,Nuclide,G,X,AQ,B+,B-,IE,AE,A,AR,FF,N
34,Ag-117,1.3013625629999999,0.0013941175097481205,0.0,0.0,1.26971227855025,0.011125787908315702,0.00048014396551564366,0.0,0.0,0.0,0.0
35,Ag-99,1.4380568540000007,0.0026890151417532883,0.8684138400000001,1.3003127731508441,0.0,0.006269079857699134,0.0010252969081653998,0.0,0.0,0.0,0.0
36,Al-26,1.8396021900000004,1.0990145116586663e-05,0.83544923,0.44421238999199997,0.0,1.0469566286220093e-05,0.00020578298517707198,0.0,0.0,0.0,0.0
37,Al-28,1.77885,1.0890021675607434e-09,0.0,0.0,1.24164,1.653240802272324e-05,1.4864611880003003e-08,0.0,0.0,0.0,0.0
38,Al-29,1.3794173459999999,1.624720747842047e-09,0.0,0.0,0.9763332390645072,1.808189679259659e-05,2.2176308226798996e-08,0.0,0.0,0.0,0.0
39,Am-237,0.2664056047054254,0.10495698426233421,0.0,0.0,0.0,0.06178100608377568,0.018378405197301502,0.001511535,2.5966e-05,0.0,0.0
40,Am-238,0.8097286441440003,0.09120201011595266,0.00139873986,0.0007573554672332,0.0,0.031583393980414556,0.016176117238545,5.9384199999999995e-06,1.01577e-07,0.0,0.0
41,Am-239,0.08762630945328799,0.15592581444089376,0.0,0.0,0.0,0.14165522708465564,0.029222880708142163,0.00057665315870402,9.8217616799702e-06,0.0,0.0
42,Am-240,0.9529632435999998,0.08249570583623662,0.0,0.0,0.0,0.05520148714817607,0.020555126710356197,1.0206277751000002e-05,1.7310032366250003e-07,0.0,0.0
43,Am-241,0.022164768295282983,0.007168628225033548,0.0,0.0,0.0,0.028188865164901305,0.009115414204719141,5.478685365238879,0.0925274647514253,0.0,0.0
44,Am-242,2.2463846069999998e-05,0.018794239854560007,0.0,0.0,0.1591099207,0.01471639332608,0.006790763237795619,0.0,0.0,0.0,0.0
45,Am-242m,0.00023686401347309998,0.005386097645267566,0.0,0.0,0.0,0.03738708070563701,0.0065041354509589415,0.023441894061827364,0.0003942376841832136,0.0,0.0
46,Am-243,0.05471984731752701,0.0038030802743676227,0.0,0.0,0.0,0.018475933691798094,0.0049012016076516365,5.270072988250652,0.088259483950354,0.0,0.0
47,Am-244,0.7765162321000001,0.028712446845351586,0.0,0.0,0.109603,0.20191293061474258,0.021436993424077597,0.0,0.0,0.0,0.0
48,Am-244m,0.013516754378307,0.003680784128724572,0.0,0.0,0.49779673656187595,0.01800124745732647,0.0029102287879832103,0.0,0.0,0.0,0.0
49,Am-245,0.01680059839432,0.01562177235303084,0.0,0.0,0.25883690377841,0.025865990271940784,0.0027203998067118597,0.0,0.0,0.0,0.0
50,Am-246,0.7100915948928499,0.03969353658505714,0.0,0.0,0.391092,0.303018121086676,0.029959184032922602,0.0,0.0,0.0,0.0
51,Am-246m,0.9688679483516828,0.011060627501028611,0.0,0.0,0.4630959448458003,0.03388664561131476,0.006287476732926401,0.0,0.0,0.0,0.0
52,Am-247,0.0780012706,0.05680314195406149,0.0,0.0,0.462904622543,0.09716091519103302,0.0082789710070288,0.0,0.0,0.0,0.0
53,Ar-37,0.0,0.00028061555062882683,0.0,0.0,0.0,0.0,0.0022666963979710002,0.0,0.0,0.0,0.0
54,Ar-39,0.0,0.0,0.0,0.0,0.218788,0.0,0.0,0.0,0.0,0.0,0.0
55,Ar-41,1.283638138864,3.557871769843981e-08,0.0,0.0,0.46366047928650195,8.896068868057122e-05,1.9421352391473e-07,0.0,0.0,0.0,0.0
56,Ar-42,0.0,0.0,0.0,0.0,0.232539,0.0,0.0,0.0,0.0,0.0,0.0
57,Ar-43,1.5351823955999997,6.089810541120925e-08,0.0,0.0,1.3568810065684502,7.902116042819162e-05,3.3242423976636003e-07,0.0,0.0,0.0,0.0
58,Ar-44,1.9376293926,1.0446882052628678e-06,0.0,0.0,0.5240465353989,0.00040002152117480836,5.7028382271271e-06,0.0,0.0,0.0,0.0
59,As-68,2.701046104500001,6.110227410901344e-05,1.0101448,1.9975507899479,0.0,0.0008542855145240195,6.604700410487399e-05,0.0,0.0,0.0,0.0
60,As-69,0.18261875268000005,0.0005102512122923272,0.9600208100000001,1.2135066362407276,0.0,0.004114083430330795,0.000552521694011688,0.0,0.0,0.0,0.0
61,As-70,3.3312324196799996,0.0004875954024856696,0.9211286,0.8779038969998619,0.0,0.0014462300887944995,0.000527160091202406,0.0,0.0,0.0,0.0
62,As-71,0.2829378201449599,0.003936954724691552,0.289632756,0.09925417355047333,0.0,0.013196773160365967,0.00425992416288032,0.0,0.0,0.0,0.0
63,As-72,0.8842112441165996,0.0006741304661669313,0.89830223,1.0260796030409194,0.0,0.014049062998193815,0.000728689653612485,0.0,0.0,0.0,0.0
64,As-73,0.005607596380103,0.010305016082440858,0.0,0.0,0.0,0.048803906663834995,0.011825721729334278,0.0,0.0,0.0,0.0
65,As-74,0.459458598336,0.001760780117992712,0.297019261,0.12733444120151602,0.135979159407315,0.0006248457507015764,0.0019035661761508764,0.0,0.0,0.0,0.0
66,As-76,0.4165745130900002,6.183623257599372e-06,0.0,0.0,1.0664126777563956,0.0005812372869063929,5.451873575973981e-06,0.0,0.0,0.0,0.0
67,As-77,0.0083132661505448,1.095748115568775e-05,0.0,0.0,0.22554348613483605,0.00029108435220015526,9.751779342730301e-06,0.0,0.0,0.0,0.0
68,As-78,1.3065824609999994,9.332929927915157e-06,0.0,0.0,1.24504861781117,0.0009002004944832942,8.229869788183001e-06,0.0,0.0,0.0,0.0
69,As-79,0.033779898770000004,6.354527897079139e-07,0.0,0.0,0.87705314967145,4.690698453432372e-05,5.599945230439211e-07,0.0,0.0,0.0,0.0
70,At-204,2.0198422093951605,0.05458977414201604,0.248930073,0.37353422454169993,0.0,0.06465916881230588,0.010306683512477,0.22613419999999998,0.00452561,0.0,0.0
71,At-205,0.9260288180244004,0.06827375265004292,0.15007967800000002,0.20167605413566825,0.0,0.044726498753016375,0.011069024204566538,0.5903050000000001,0.011755000000000002,0.0,0.0
72,At-206,2.2329383811336,0.060778343874589885,0.186940152,0.26206801919024786,0.0,0.06037678152057769,0.00992133850176199,0.050717384962,0.0010049577756000001,0.0,0.0
73,At-207,1.9157151243238977,0.07999724161656872,0.0178785103,0.0158859186796539,0.0,0.10060126275982441,0.01332237122779856,0.49514327999999996,0.009762891999999999,0.0,0.0
74,At-208,2.925097841789382,0.0832909196806364,0.0323956626,0.03001607405456634,0.0,0.11414673094775575,0.015596581073854525,0.031017557055195998,0.0006085848847469,0.0,0.0
75,At-209,2.1816782571899207,0.10218240117555362,0.00076500277,0.00034424304700576,0.0,0.09889063175552953,0.017944608665481795,0.231506657604,0.0045201487878387,0.0,0.0
76,At-210,2.8871308843453334,0.07410999720871744,0.0009105509000000001,0.00060458626261624,0.0,0.0638728376639488,0.015148159878597587,0.0095212121345779,0.00018499816385494602,0.0,0.0
77,At-211,0.0018206137761600002,0.034852966243816313,0.0,0.0,0.0,9.200219063494621e-05,0.005852946286163226,2.4523911035882002,0.04742015381960577,0.0,0.0
78,At-215,0.00016559192400000003,5.991372721143119e-06,0.0,0.0,0.0,2.950583842083e-05,9.139241113263671e-07,8.025549800000002,0.15224220200000002,0.0,0.0
79,At-216,0.001048174096282,0.0014618687523724756,0.0,0.0,0.0,0.0011175797559696804,0.00022372676356174098,7.79358075532675,0.14714435774174003,0.0,0.0
80,At-217,0.00021674405980000002,2.7850385377823236e-05,0.0,0.0,0.0,7.7305492296154e-05,4.256857944934021e-06,7.06799726784136,0.132818150727004,0.0,0.0
81,At-218,0.0,0.0,0.0,0.0,0.00109548,0.0,0.0,6.67923803604,0.124927023924,0.0,0.0
82,At-219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0221674,0.11211357,0.0,0.0
83,At-220,0.43999427101000005,0.009660522045124855,0.0,0.0,1.1615886247359999,0.04924539765769237,0.0021731047492843498,0.4754304,0.00881,0.0,0.0
84,Au-186,0.9335553590057,0.0400380489480834,0.52475101,1.0047370208151,0.0,0.0627683877833146,0.007607943636420001,0.0,0.0,0.0,0.0
85,Au-187,0.9262357831729364,0.06124881241330348,0.07775375999999999,0.0777593589390155,0.0,0.04338076429306463,0.014889647124744,0.0001399491,3.06099e-06,0.0,0.0
86,Au-190,2.1894798421999995,0.05363314759229626,0.13760208000000002,0.17245832292776,0.0,0.031152507680107668,0.009311921646790003,0.0,0.0,0.0,0.0
87,Au-191,0.5163235283989999,0.07646715642221359,0.00182927269,0.0006466171633214199,0.0,0.06911815481212719,0.016733616376406,0.0,0.0,0.0,0.0
88,Au-192,1.8294121542628,0.056625070095125477,0.053158308,0.05488454270274347,0.0,0.02570576250838757,0.009855521153438202,0.0,0.0,0.0,0.0
89,Au-193,0.09106492738006583,0.07627970446268545,0.0,0.0,0.0,0.04268620187717802,0.014821759024735,0.0,0.0,0.0,0.0
90,Au-193m,0.178326713978456,0.019580102225233056,0.0,0.0,0.0,0.08052548835596397,0.009870095592245366,0.0,0.0,0.0,0.0
91,Au-194,0.9641886966055001,0.05709520599436897,0.0172710846,0.0104975710119326,0.0,0.021499299604769064,0.010069347215051802,0.0,0.0,0.0,0.0
92,Au-195,0.0121111156116,0.07174433274879981,0.0,0.0,0.0,0.03322471248280428,0.018799821302161002,0.0,0.0,0.0,0.0
93,Au-195m,0.18094623855179995,0.020423399862646095,0.0,0.0,0.0,0.10723837074350798,0.009956034848267301,0.0,0.0,0.0,0.0
94,Au-196,0.418535632349344,0.05482550413390688,0.0,0.0,0.005617143000000001,0.022006238235691093,0.009559333313717801,0.0,0.0,0.0,0.0
95,Au-196m,0.173783811158999,0.07354239851010502,0.0,0.0,0.0,0.3489289780181061,0.027089080959174998,0.0,0.0,0.0,0.0
96,Au-198,0.40076319709552,0.0021756811789946273,0.0,0.0,0.31222027144,0.015083141720803238,0.00040172069802912457,0.0,0.0,0.0,0.0
97,Au-198m,0.46622968776,0.06700647020765998,0.0,0.0,0.0,0.25486951038982,0.019916892324061006,0.0,0.0,0.0,0.0
98,Au-199,0.08168713898720001,0.014459069723538321,0.0,0.0,0.08233465849999999,0.05855583293664221,0.004172463720181294,0.0,0.0,0.0,0.0
99,Au-200,0.27285556875255007,0.0008789969431369371,0.0,0.0,0.7246847116553801,0.005502163170829594,0.00016018622635628608,0.0,0.0,0.0,0.0
100,Au-200m,1.96720262654,0.01706746810489915,0.0,0.0,0.13862592,0.09895173692885095,0.005730645940005471,0.0,0.0,0.0,0.0
101,Au-201,0.032781700326929994,0.0018602437819685244,0.0,0.0,0.417618012484441,0.006726522992322035,0.0015404351570535997,0.0,0.0,0.0,0.0
102,Au-202,0.171604009,0.0004316334836064105,0.0,0.0,1.0713906055115598,0.003418837250480566,7.392123496137684e-05,0.0,0.0,0.0,0.0
103,Ba-124,0.33494278032000013,0.02491926423558274,0.212922458,0.1475140707926016,0.0,0.019965838624873194,0.006857500464594847,0.0,0.0,0.0,0.0
104,Ba-126,0.5481192850100001,0.025709086597047816,0.0064340521,0.0018104787151669998,0.0,0.009318471311824159,0.006714130312006685,0.0,0.0,0.0,0.0
105,Ba-127,0.15828395400000006,0.01634040518453148,0.5536173999999999,0.575061809986569,0.0,0.017522384719227964,0.004516547796272011,0.0,0.0,0.0,0.0
106,Ba-128,0.041860906079999996,0.024651136937770254,0.0,0.0,0.0,0.002149141228285508,0.006476121583451177,0.0,0.0,0.0,0.0
107,Ba-129,0.12236267704892906,0.021558443826588485,0.18921359100000001,0.11413923393926001,0.0,0.006626248205768289,0.006239839466718721,0.0,0.0,0.0,0.0
108,Ba-129m,1.543436194695922,0.02877948265713577,0.0110921237,0.0042004609239281,0.0,0.026920316761049556,0.010734338776173722,0.0,0.0,0.0,0.0
